popularity,duration_ms_x,like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
8.0,193628.0,0.0,0.7,0.8,10.0,-5.0280000000000005,0.0,0.0404,0.20800000000000002,0.0,0.0654,0.595,115.959,193628.0,4.0
12.0,254960.0,0.0,0.7559999999999999,0.8170000000000001,3.0,-6.381,0.0,0.318,0.462,0.0,0.11199999999999999,0.47600000000000003,140.02,254960.0,4.0
39.0,216770.0,0.0,0.6940000000000001,0.7909999999999999,1.0,-5.852,0.0,0.212,0.512,0.0,0.105,0.303,106.045,216771.0,4.0
25.0,255946.0,0.0,0.775,0.69,11.0,-5.095,1.0,0.39299999999999996,0.0195,0.0,0.0315,0.862,80.49600000000001,255947.0,4.0
50.0,219865.0,0.0,0.634,0.675,7.0,-7.351,0.0,0.0926,0.099,0.000314,0.36200000000000004,0.628,82.18299999999999,219866.0,4.0
43.0,197253.0,0.0,0.872,0.868,4.0,-5.164,1.0,0.0942,0.22899999999999998,0.0,0.0773,0.9520000000000001,107.964,197253.0,4.0
11.0,239373.0,0.0,0.67,0.8420000000000001,8.0,-3.707,1.0,0.28,0.184,0.0,0.428,0.728,86.051,239373.0,4.0
8.0,203812.0,0.0,0.7659999999999999,0.648,7.0,-8.379,1.0,0.0729,0.0172,0.0011300000000000001,0.0556,0.429,98.40700000000001,203813.0,4.0
13.0,512440.0,0.0,0.716,0.7809999999999999,9.0,-7.143,1.0,0.126,0.604,2.0600000000000003e-05,0.047,0.882,115.70700000000001,512440.0,4.0
17.0,486225.0,0.0,0.5329999999999999,0.5429999999999999,0.0,-12.154000000000002,1.0,0.322,0.48700000000000004,0.0,0.355,0.7859999999999999,130.58100000000002,486226.0,4.0
0.0,376773.0,0.0,0.718,0.7979999999999999,9.0,-9.454,1.0,0.0505,0.231,0.0378,0.0768,0.802,121.109,376773.0,4.0
28.0,336062.0,0.0,0.7120000000000001,0.597,0.0,-6.522,1.0,0.122,0.253,2.34e-06,0.151,0.42700000000000005,169.74900000000002,336062.0,4.0
0.0,286813.0,0.0,0.708,0.773,2.0,-5.672000000000001,0.0,0.0432,0.267,0.0,0.133,0.713,93.994,286813.0,4.0
6.0,184420.0,0.0,0.833,0.633,7.0,-12.257,1.0,0.0606,0.00328,0.285,0.102,0.48,130.069,184421.0,4.0
29.0,180058.0,0.0,0.813,0.941,6.0,-6.644,0.0,0.111,0.00987,7.240000000000001e-05,0.0742,0.731,140.031,180059.0,4.0
22.0,209400.0,0.0,0.506,0.848,0.0,-3.736,1.0,0.0599,0.21100000000000002,0.0,0.177,0.69,135.679,209400.0,4.0
0.0,354546.0,0.0,0.687,0.755,9.0,-9.737,0.0,0.0454,0.125,0.0171,0.251,0.522,135.292,354547.0,4.0
13.0,307426.0,0.0,0.552,0.605,4.0,-7.928,1.0,0.0413,0.9109999999999999,0.00038700000000000003,0.106,0.963,88.62100000000001,307427.0,4.0
18.0,456133.0,0.0,0.586,0.897,9.0,-2.299,1.0,0.138,0.243,0.0,0.107,0.82,115.34100000000001,456133.0,4.0
13.0,525946.0,0.0,0.5660000000000001,0.775,9.0,-5.222,1.0,0.106,0.462,0.0,0.18899999999999997,0.779,131.363,525947.0,4.0
36.0,234240.0,0.0,0.757,0.903,8.0,-4.191,1.0,0.145,0.243,0.0,0.158,0.917,120.00399999999999,234240.0,4.0
17.0,277028.0,0.0,0.606,0.74,7.0,-4.084,1.0,0.29100000000000004,0.385,0.0,0.134,0.8059999999999999,72.275,277029.0,4.0
7.0,486466.0,0.0,0.511,0.965,9.0,-4.18,1.0,0.0755,0.5329999999999999,0.00015,0.5760000000000001,0.9179999999999999,118.916,486467.0,4.0
22.0,248600.0,0.0,0.7829999999999999,0.845,9.0,-4.923,1.0,0.0542,0.19899999999999998,2.15e-05,0.228,0.836,132.991,248600.0,4.0
13.0,434400.0,0.0,0.6990000000000001,0.862,2.0,-5.872999999999999,1.0,0.0901,0.45399999999999996,0.0,0.244,0.922,100.036,434400.0,4.0
28.0,400160.0,0.0,0.424,0.862,0.0,-3.325,1.0,0.0619,0.494,0.0,0.14800000000000002,0.619,145.93,400160.0,4.0
1.0,503457.0,0.0,0.52,0.7929999999999999,4.0,-5.04,0.0,0.141,0.445,0.0,0.0931,0.825,123.665,503458.0,4.0
35.0,265600.0,0.0,0.415,0.784,4.0,-3.9530000000000003,0.0,0.218,0.0933,0.0,0.35100000000000003,0.34700000000000003,125.985,265600.0,4.0
25.0,196000.0,0.0,0.9,0.7040000000000001,11.0,-6.562,0.0,0.29600000000000004,0.16899999999999998,0.0,0.147,0.9490000000000001,118.935,196000.0,4.0
50.0,240053.0,0.0,0.7979999999999999,0.825,8.0,-3.0180000000000002,0.0,0.27,0.00981,0.0,0.0896,0.807,136.118,240053.0,4.0
50.0,226373.0,0.0,0.7859999999999999,0.7509999999999999,10.0,-4.6819999999999995,0.0,0.0893,0.139,0.0,0.145,0.45399999999999996,95.99700000000001,226373.0,4.0
44.0,344615.0,0.0,0.9390000000000001,0.745,1.0,-7.067,1.0,0.39299999999999996,0.528,0.0,0.124,0.649,117.056,344616.0,4.0
56.0,203320.0,0.0,0.7040000000000001,0.639,4.0,-6.267,0.0,0.36700000000000005,0.565,0.0,0.138,0.395,115.20100000000001,203320.0,4.0
13.0,269865.0,0.0,0.68,0.79,11.0,-5.42,0.0,0.39399999999999996,0.17800000000000002,0.0,0.105,0.51,119.97200000000001,269866.0,5.0
51.0,177920.0,0.0,0.868,0.6779999999999999,5.0,-5.872000000000001,0.0,0.12,0.145,0.0,0.105,0.295,134.97899999999998,177920.0,4.0
26.0,236748.0,0.0,0.693,0.6579999999999999,10.0,-6.849,0.0,0.331,0.43799999999999994,0.0,0.166,0.442,177.735,236749.0,4.0
4.0,203258.0,0.0,0.557,0.48,1.0,-11.122,0.0,0.0702,0.0754,2.58e-05,0.0879,0.429,101.09,203259.0,4.0
5.0,210746.0,0.0,0.66,0.705,6.0,-6.979,1.0,0.0597,0.12300000000000001,0.0552,0.159,0.763,89.934,210747.0,4.0
20.0,236106.0,0.0,0.603,0.996,5.0,-1.334,1.0,0.0993,0.43,0.000101,0.11699999999999999,0.706,137.034,236107.0,4.0
6.0,239146.0,0.0,0.7509999999999999,0.79,7.0,-6.047000000000001,1.0,0.0447,0.511,0.00474,0.0784,0.879,113.946,239147.0,4.0
20.0,238419.0,0.0,0.622,0.331,6.0,-17.15,1.0,0.07400000000000001,0.401,0.0,0.0596,0.851,164.048,238420.0,4.0
14.0,218000.0,0.0,0.529,0.7440000000000001,6.0,-4.738,1.0,0.27399999999999997,0.32799999999999996,0.0,0.0464,0.856,103.624,218000.0,4.0
12.0,299165.0,0.0,0.536,0.37200000000000005,5.0,-10.524000000000001,1.0,0.0415,0.873,7.69e-05,0.185,0.42700000000000005,88.103,299166.0,4.0
2.0,260333.0,0.0,0.7709999999999999,0.8540000000000001,11.0,-3.3939999999999997,1.0,0.136,0.573,0.0,0.146,0.86,104.978,260333.0,4.0
31.0,316186.0,0.0,0.573,0.993,11.0,-1.808,1.0,0.19,0.0301,0.0,0.354,0.8220000000000001,122.277,316186.0,4.0
1.0,297840.0,0.0,0.589,0.701,2.0,-6.2589999999999995,1.0,0.0406,0.687,1.27e-06,0.184,0.863,116.92200000000001,297840.0,4.0
9.0,221659.0,0.0,0.40399999999999997,0.6579999999999999,8.0,-5.644,1.0,0.141,0.0967,0.0,0.14400000000000002,0.72,77.118,221659.0,4.0
19.0,505549.0,0.0,0.742,0.9059999999999999,11.0,-4.552,0.0,0.0635,0.19699999999999998,2.43e-06,0.145,0.8859999999999999,108.04299999999999,505550.0,4.0
22.0,219346.0,0.0,0.642,0.981,4.0,-1.874,0.0,0.102,0.311,0.0025800000000000003,0.16899999999999998,0.892,93.48100000000001,219347.0,3.0
10.0,336786.0,0.0,0.585,0.877,5.0,-6.57,1.0,0.0307,0.218,0.386,0.0851,0.736,95.006,336787.0,4.0
11.0,199505.0,0.0,0.772,0.794,9.0,-6.932,1.0,0.145,0.0269,0.0,0.10300000000000001,0.92,112.991,199506.0,4.0
22.0,356506.0,0.0,0.6940000000000001,0.838,0.0,-4.17,1.0,0.0905,0.535,0.0,0.133,0.9009999999999999,143.162,356507.0,4.0
8.0,304143.0,0.0,0.426,0.787,2.0,-5.331,0.0,0.102,0.0404,8.78e-06,0.153,0.574,96.01,304144.0,4.0
0.0,247026.0,0.0,0.679,0.835,11.0,-5.6339999999999995,1.0,0.0455,0.174,2.97e-06,0.0792,0.9259999999999999,106.98100000000001,247027.0,4.0
14.0,341666.0,0.0,0.632,0.897,9.0,-7.644,0.0,0.0476,0.21600000000000003,0.000424,0.237,0.6829999999999999,111.93799999999999,341667.0,4.0
0.0,242533.0,0.0,0.608,0.6409999999999999,3.0,-6.733,0.0,0.0323,0.255,0.0,0.11199999999999999,0.703,140.011,242533.0,4.0
32.0,300000.0,0.0,0.898,0.7879999999999999,7.0,-3.702,1.0,0.14800000000000002,0.00040599999999999995,0.523,0.0376,0.17300000000000001,128.024,300000.0,4.0
28.0,183072.0,0.0,0.774,0.638,0.0,-7.106,1.0,0.0724,0.0034200000000000003,0.7909999999999999,0.152,0.126,128.001,183073.0,4.0
35.0,242812.0,0.0,0.727,0.7759999999999999,1.0,-3.7039999999999997,1.0,0.0548,0.0266,0.0164,0.0913,0.457,128.007,242813.0,4.0
30.0,342857.0,0.0,0.6940000000000001,0.813,7.0,-4.0760000000000005,1.0,0.0458,0.0034100000000000003,0.141,0.0717,0.23600000000000002,125.977,342857.0,4.0
38.0,221142.0,0.0,0.648,0.848,4.0,-5.092,0.0,0.177,0.35100000000000003,0.0,0.0737,0.213,140.16299999999998,221143.0,4.0
36.0,174271.0,0.0,0.7090000000000001,0.868,4.0,-6.702999999999999,0.0,0.0332,0.000386,0.847,0.151,0.0575,125.97399999999999,174272.0,4.0
42.0,192333.0,0.0,0.7759999999999999,0.8390000000000001,10.0,-5.297000000000001,1.0,0.0435,0.0273,0.0095,0.0826,0.493,119.01100000000001,192333.0,4.0
39.0,281538.0,0.0,0.8140000000000001,0.569,11.0,-5.277,0.0,0.11599999999999999,0.000245,0.42200000000000004,0.0753,0.614,130.001,281538.0,4.0
54.0,218078.0,0.0,0.583,0.861,10.0,-2.7689999999999997,0.0,0.0728,0.0567,1.23e-05,0.0836,0.278,128.04399999999998,218079.0,4.0
24.0,255933.0,0.0,0.715,0.706,11.0,-7.702999999999999,0.0,0.0451,0.00366,0.46399999999999997,0.515,0.0443,128.007,255933.0,4.0
19.0,253283.0,0.0,0.413,0.924,5.0,-4.919,0.0,0.177,0.135,8.05e-05,0.0713,0.9109999999999999,131.945,253283.0,4.0
12.0,211433.0,0.0,0.64,0.8590000000000001,6.0,-4.87,0.0,0.386,0.0408,0.0,0.22899999999999998,0.674,128.033,211434.0,4.0
64.0,206315.0,0.0,0.868,0.521,1.0,-6.902,0.0,0.0512,0.281,6.36e-05,0.0992,0.871,113.993,206316.0,4.0
47.0,234893.0,0.0,0.843,0.9,8.0,-4.914,1.0,0.0668,0.379,1.11e-05,0.113,0.86,125.02,234893.0,4.0
28.0,244801.0,0.0,0.823,0.742,6.0,-4.898,1.0,0.134,0.0794,0.0,0.14800000000000002,0.68,105.05,244802.0,4.0
30.0,206550.0,0.0,0.8140000000000001,0.8590000000000001,11.0,-2.708,0.0,0.0859,0.134,0.000298,0.0822,0.934,120.031,206550.0,4.0
29.0,217026.0,0.0,0.777,0.9670000000000001,4.0,-2.84,0.0,0.20199999999999999,0.42,0.0,0.0483,0.902,121.99700000000001,217027.0,4.0
46.0,208666.0,0.0,0.777,0.7070000000000001,9.0,-4.812,0.0,0.152,0.0158,0.000173,0.0522,0.8140000000000001,106.98,208666.0,4.0
18.0,218673.0,0.0,0.882,0.9059999999999999,5.0,-3.6069999999999998,0.0,0.0573,0.0468,0.0,0.054000000000000006,0.872,125.98899999999999,218673.0,4.0
45.0,271786.0,0.0,0.735,0.885,10.0,-3.6689999999999996,0.0,0.175,0.0397,0.0,0.0916,0.583,125.946,271787.0,4.0
